gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50,50,0,150,7100,0
25,77,2,229,16000,0
12,92,4,272,10500,0
6,100,6,294,9000,0
3,108,11,313,9300,0
1,121,22,341,10800,0
0,548,45,1599,3165200,3
