gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
9841,159,159,636,60700,0
3280,10002,9524,32966,1247600,1
1093,15934,8895,42643,818000,0
364,16246,7020,42538,715400,0
121,13186,3345,36289,590300,0
40,14296,4340,38556,1286000,1
13,17149,7187,44310,1089200,1
4,14518,4530,39040,228800,0
1,18700,8704,47402,291100,0
0,120190,53704,324380,10497900,10
