gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
500,500,256,1756,161000,0
250,963,353,2816,125400,0
125,1296,482,3528,122300,0
62,1859,966,4701,172400,0
31,1663,711,4312,141600,0
15,2367,1394,5731,197600,0
7,2458,1473,5917,195200,0
3,2169,1172,5335,169200,0
1,1792,794,4584,141000,0
0,15067,7601,38680,6292500,6
