gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
364,807,450,2529,110000,0
121,1661,893,4312,146600,0
40,2313,1389,5622,201100,0
13,3149,2177,7300,159700,0
4,3534,2541,8067,169700,0
1,2714,1715,6427,127700,0
0,14178,9165,34257,4819800,4
