gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
5000,5000,66,15066,381500,0
2500,7590,138,22728,351100,0
1250,8987,262,26749,604900,0
625,9872,512,29134,657700,0
312,11550,1869,32795,597800,0
156,11511,1668,32867,509200,0
78,12796,2875,35515,760400,0
39,14235,4275,38432,562800,0
19,22837,12856,55655,309300,0
9,21996,12005,53983,708800,0
4,22674,12678,55344,272200,0
2,14626,4628,39250,131800,0
1,15285,5286,40569,136000,0
0,178959,59118,478087,9641100,9
