gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
364,643,14,1929,192200,0
121,933,58,2749,85000,0
40,1132,174,3226,59000,0
13,1466,479,3919,87400,0
4,2086,1090,5168,118000,0
1,2218,1219,5435,113000,0
0,8478,3034,22426,5463200,5
