gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50,50,50,200,9800,0
25,100,50,300,23100,0
12,131,56,363,15600,0
6,129,40,357,11800,0
3,127,32,353,11800,0
1,131,32,361,11800,0
0,668,260,1934,3393900,3
