gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
364,908,908,3088,159500,0
121,1271,543,3572,100000,0
40,1440,500,3860,78200,0
13,1455,485,3914,70400,0
4,1628,632,4252,85000,0
1,1848,852,4698,86900,0
0,8550,3920,23384,5859300,5
