gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
88573,11427,44,34325,751100,0
29524,71294,1297,213543,3671600,3
9841,95350,5434,281102,1197400,1
3280,113617,16999,324056,991300,0
1093,143335,44466,385615,1433000,1
364,190757,91141,481170,2056800,2
121,249645,149777,599180,2439600,2
40,308377,208423,716720,2907600,2
13,372920,272934,845828,1099600,1
4,381509,281514,863015,1118800,1
1,273656,173657,647311,929600,0
0,2211887,1245686,5391865,23056400,23
