gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50,50,27,177,9700,0
25,96,36,282,64800,0
12,133,52,361,121100,0
6,151,60,399,14100,0
3,165,70,429,93400,0
1,289,190,677,26000,0
0,884,435,2325,6972400,6
