gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
9841,159,86,563,50900,0
3280,9015,5039,27494,859500,0
1093,17217,9358,44389,1134500,1
364,23220,13927,56419,1540300,1
121,28950,19197,67905,1579300,1
40,38647,28718,87285,1257300,1
13,48786,38816,107576,876000,0
4,41834,31844,93670,623300,0
1,26973,16974,63945,448200,0
0,234801,163959,549246,12522700,12
