gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
9841,159,86,563,38300,0
3280,9015,5039,27494,716100,0
1093,17217,9358,44389,1205700,1
364,23220,13927,56419,1156400,1
121,28950,19197,67905,1364700,1
40,38647,28718,87285,372000,0
13,48786,38816,107576,808000,0
4,41834,31844,93670,391700,0
1,26973,16974,63945,294000,0
0,234801,163959,549246,11869200,11
