gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
9841,159,1,478,27800,0
3280,6782,118,20340,453100,0
1093,9402,519,27735,429500,0
364,11283,1655,32210,503200,0
121,14057,4179,37994,675000,0
40,18680,8721,47321,866900,0
13,24534,14547,59055,965800,0
4,30043,20047,70082,275000,0
1,26742,16743,63483,252000,0
0,141682,66530,358698,7624300,7
